Index	CorrectMemoryResponse	ItemNumber	List	ItemType	Ambiguity	MemoryLoad	Condition	Region_1RT.rt	Region_2RT.rt	Region_3RT.rt	Region_4RT.rt	TotalRT	ComprehensionRT.keys	ReferentChoice	ComprehensionRT.rt	Memory_ComprehensionRT.keys	Memory_ComprehensionRT.corr	Memory_ComprehensionRT.rt	Region_5RT.rt	Region_6RT.rt	Region_7RT.rt	expName	session	participant	WMC
50	q	119	2	Filler	NA	NA	MismatchMFLow	9.267349958	0.686138868	0.352617979	0.300415993	11.52799726	2	Sub	1.813743114	space	0	1.618901968	0.285807133	0.30019021	0.335477114	List2	1	P317	65
51	space	123	2	Filler	NA	NA	MismatchMF	8.819361925	0.719295025	0.935527802	1.052254915	13.68358088	2	Sub	1.301676035	space	1	1.569009781	0.935624123	0.635998964	0.585518122	List2	1	P317	65
52	q	142	2	Filler	NA	NA	NeutralFN	3.719112873	0.58553195	0.418806076	0.419187069	6.23074174	1	Obj	2.166450024	q	1	9.685306072	0.367099047	0.318858862	0.402145863	List2	1	P317	65
53	space	81	2	Exp	Amb	Low	AmbLow	0.602329016	0.519428968	0.419378996	0.352272034	3.251353742	1	Obj	6.501194954	space	1	1.385599852	0.352776051	0.318952799	0.686215878	List2	1	P317	65
54	space	104	2	Filler	NA	NA	MatchMMLow	0.485507965	0.368929863	0.335699081	0.319522142	2.300541162	3	None	2.785290957	space	1	1.0855968	0.302361012	0.252851963	0.235669136	List2	1	P317	65
55	space	80	2	Exp	One	Low	OneLow	0.752187967	0.802399874	0.73577404	0.735565901	20.617203	1	Obj	2.165073156	space	1	0.768757105	0.552373171	1.135925055	15.90297699	List2	1	P317	65
56	p	112	2	Filler	NA	NA	MatchFFLow	8.052645922	0.452530861	0.352252007	0.300425053	9.932101966	1	Obj	2.234179974	q	0	4.685809851	0.235929012	0.235925913	0.302393198	List2	1	P317	65
57	p	96	2	Exp	Amb	High	AmbHigh	5.66912508	0.752508879	0.485778093	0.718917131	38.53259635	2	Sub	26.4038322	q	0	7.319185019	0.702193975	1.069506168	29.13456702	List2	1	P317	65
58	p	88	2	Exp	No	High	NoHigh	11.53590488	0.352848053	0.268914938	0.218919992	16.56767368	2	Sub	4.884067059	q	0	12.83595705	0.252825022	0.352238894	3.5860219	List2	1	P317	65
59	p	138	2	Filler	NA	NA	NeutralFNLow	3.585784197	0.51898694	0.468883038	0.302834034	6.1501472	1	Obj	2.584708929	p	1	5.486304998	0.251960039	0.286147118	0.735551834	List2	1	P317	65
60	space	79	2	Exp	No	Low	NoLow	0.668937922	0.418936968	0.385559082	0.319482088	7.600542068	1	Obj	2.916854143	space	1	0.618902922	0.452209949	4.703085899	0.65233016	List2	1	P317	65
61	p	144	2	Filler	NA	NA	NeutralFN	3.252597094	0.418985128	0.286118984	0.335642099	5.298524379	1	Obj	3.884498835	p	1	9.702682972	0.350651979	0.251899004	0.402630091	List2	1	P317	65
62	q	82	2	Exp	No	High	NoHigh	2.73586297	0.333671093	0.218739033	0.168941021	5.330714702	2	Sub	4.633244991	p	0	10.50325489	0.452251911	0.602259874	0.8189888	List2	1	P317	65
63	q	137	2	Filler	NA	NA	NeutralMN	0.868988991	0.385571957	0.218811035	0.185575008	2.566115857	2	Sub	1.902071953	p	0	8.769318104	0.302269936	0.302729845	0.302169085	List2	1	P317	65
64	q	95	2	Exp	One	High	OneHigh	2.469014168	0.469218969	0.269286156	0.168926954	4.750608444	1	Obj	2.368257999	q	1	18.60291505	0.502847195	0.535681963	0.335633039	List2	1	P317	65
65	space	105	2	Filler	NA	NA	MatchMMLow	0.752283096	0.40042901	0.269183159	0.369449854	3.248065233	1	Obj	1.232299089	space	1	1.168969154	0.452295065	0.518882036	0.485543013	List2	1	P317	65
66	space	115	2	Filler	NA	NA	MatchFF	0.536247015	0.619333029	0.61894393	0.485821962	3.413444758	2	Sub	1.818966866	space	1	0.952522993	0.383718014	0.318972826	0.450407982	List2	1	P317	65
67	q	100	2	Exp	No	High	NoHigh	2.385822058	0.586020947	0.302353859	0.18561697	5.767365457	2	Sub	2.118160009	q	1	5.33581996	0.352577925	0.302442789	1.652530909	List2	1	P317	65
68	p	143	2	Filler	NA	NA	NeutralFN	2.017112017	0.40041399	0.202317953	0.25251317	3.61303854	2	Sub	1.681416988	p	1	4.61935401	0.202414036	0.352269173	0.185998201	List2	1	P317	65
69	space	117	2	Filler	NA	NA	MismatchMFLow	0.402224064	0.335566998	0.302170992	0.219351053	2.65050912	2	Sub	2.116188049	space	1	1.552141905	0.635976076	0.385601044	0.369618893	List2	1	P317	65
70	space	86	2	Exp	One	Low	OneLow	0.785618067	0.302248001	0.269603968	0.252243996	4.583214045	1	Obj	4.582343102	space	1	0.618973017	0.618874073	0.402308941	1.952316999	List2	1	P317	65
71	p	130	2	Filler	NA	NA	MismatchFM	3.502645016	0.335692167	0.285592794	0.235525131	5.066267967	1	Obj	2.684397936	p	1	12.46929407	0.202169895	0.202343941	0.302299023	List2	1	P317	65
72	space	127	2	Filler	NA	NA	MismatchFM	0.452279091	0.283716917	0.185626984	0.168933868	2.012024641	2	Sub	1.618489027	space	1	1.102268934	0.4188869	0.16702199	0.335558891	List2	1	P317	65
1	q	124	2	Filler	NA	NA	MismatchFMLow	1.285444021	0.418668032	0.418959141	0.768964052	4.581829072	2	Obj	1.602173805	p	0	2.535388947	0.4521029	0.402307034	0.835383892	List2	1	P448	25
2	p	107	2	Filler	NA	NA	MatchMM	0.76902914	0.353165865	0.485402822	0.835610867	4.066488504	2	Obj	1.568715811	q	0	3.685402155	0.452126026	0.435398817	0.735754967	List2	1	P448	25
3	p	83	2	Exp	One	High	OneHigh	0.816931963	0.485148191	0.435412884	0.552271843	4.679306984	1	Sub	3.418591976	p	1	4.002187967	0.435264111	0.568765163	1.385512829	List2	1	P448	25
4	p	125	2	Filler	NA	NA	MismatchFMLow	0.802367926	0.468883991	0.468782187	0.602298975	4.748852254	1	Sub	1.268387079	p	1	3.435530901	0.518701077	0.718672991	1.169145107	List2	1	P448	25
5	q	89	2	Exp	One	High	OneHigh	2.485510111	0.435415983	0.468860149	0.635291815	6.848242044	2	Obj	3.018715858	q	1	4.719130993	0.78540802	0.60234189	1.435414076	List2	1	P448	25
6	p	126	2	Filler	NA	NA	MismatchFMLow	2.068798065	0.651914835	0.533730984	0.602080822	6.512975693	2	Obj	3.401968002	p	1	5.785510063	0.452359915	0.935366869	1.268724203	List2	1	P448	25
7	space	93	2	Exp	Amb	Low	AmbLow	0.668793917	0.668832064	0.535381079	0.718896151	4.865028383	1	Sub	10.235466	space	1	0.718828917	0.785603046	0.452104092	1.035418034	List2	1	P448	25
8	q	120	2	Filler	NA	NA	MismatchMF	1.818989992	0.502015829	0.702346802	1.018919945	5.965466261	2	Obj	2.13371706	q	1	6.969411135	0.53568697	0.752019882	0.635486841	List2	1	P448	25
9	space	75	2	Exp	Amb	Low	AmbLow	0.852125168	0.618647099	0.618983984	0.702089787	5.46552992	2	Obj	2.602015018	space	1	0.868694067	0.952291965	0.91907692	0.802314997	List2	1	P448	25
10	p	114	2	Filler	NA	NA	MatchFF	2.935529947	1.21863699	0.78529191	0.518640041	6.880917548	2	Obj	1.502035856	p	1	2.052141905	0.502044916	0.40207386	0.518699884	List2	1	P448	25
11	p	77	2	Exp	One	High	OneHigh	0.752319098	0.418695927	0.568693161	0.718987942	5.148357154	1	Sub	2.551941156	p	1	1.850313187	0.685379982	0.91892004	1.085361004	List2	1	P448	25
12	q	118	2	Filler	NA	NA	MismatchMFLow	1.068780899	0.552997828	0.785410881	0.952196121	4.766086816	2	Obj	2.334276915	q	1	7.835954189	0.485563993	0.418883085	0.502254009	List2	1	P448	25
13	p	76	2	Exp	No	High	NoHigh	0.268806934	1.118711948	0.452095985	0.719048977	5.115383148	2	Obj	4.084340811	space	0	4.902225018	0.868884087	0.568728209	1.119107008	List2	1	P448	25
14	space	111	2	Filler	NA	NA	MatchFFLow	4.98561883	0.968704939	0.518751144	0.685585976	8.84853983	2	Obj	1.233783007	space	1	0.651967049	0.702780008	0.434993029	0.552105904	List2	1	P448	25
15	q	102	2	Exp	Amb	High	AmbHigh	0.685419083	0.735033035	0.552412033	0.885379076	5.812882186	3	None	3.568655968	q	1	6.935639143	0.400364161	0.618665934	1.935608864	List2	1	P448	25
16	space	128	2	Filler	NA	NA	MismatchFM	1.335422993	0.535367966	0.56862092	1.051980972	5.581279754	2	Obj	1.201530933	space	1	0.68558383	0.5188241	0.902112961	0.668949842	List2	1	P448	25
17	space	135	2	Filler	NA	NA	NeutralMN	1.518976927	0.402281046	0.552323103	0.468472004	4.381726026	1	Sub	2.84821105	space	1	0.818950891	0.468858957	0.435415983	0.535398006	List2	1	P448	25
18	space	85	2	Exp	No	Low	NoLow	0.835498095	0.685471058	0.402035952	0.635561228	4.74853635	2	Obj	3.369168997	space	1	1.402112007	0.485394001	1.018785954	0.685790062	List2	1	P448	25
19	space	116	2	Filler	NA	NA	MatchFF	1.18543911	0.602082014	0.618889093	1.31867981	5.381533861	2	Obj	3.167044878	space	1	2.318895102	0.535401106	0.502072811	0.618969917	List2	1	P448	25
20	q	78	2	Exp	Amb	High	AmbHigh	0.102046967	1.102168083	0.485687971	0.452248812	3.96528697	2	Obj	2.668870926	q	1	3.518697977	0.518798113	0.485450029	0.818886995	List2	1	P448	25
21	space	103	2	Filler	NA	NA	MatchMMLow	0.202117205	0.702023029	0.418859005	1.402159929	4.714996338	1	Sub	1.451092958	space	1	1.218976021	0.585422993	0.735637188	0.668776989	List2	1	P448	25
22	space	74	2	Exp	One	Low	OneLow	0.552063942	0.352247953	0.468708992	0.669005156	3.913183451	1	Sub	1.485359907	space	1	1.002032042	0.533685207	0.485335112	0.852137089	List2	1	P448	25
23	space	134	2	Filler	NA	NA	NeutralMN	0.868980169	0.468660831	0.435591936	0.56872201	4.748299837	2	Obj	1.502044201	space	1	0.802117109	0.418808937	0.685446978	1.302088976	List2	1	P448	25
24	space	99	2	Exp	Amb	Low	AmbLow	0.80200696	0.452066898	0.51907897	0.535476923	4.514764786	1	Sub	8.802422047	space	1	0.70207715	0.451925993	0.435379982	1.31882906	List2	1	P448	25
25	space	129	2	Filler	NA	NA	MismatchFM	0.702243805	0.535466909	0.718689203	0.652201891	4.930042743	1	Sub	1.784348011	space	1	0.569256067	0.452310085	0.533726931	1.335403919	List2	1	P448	25
26	space	92	2	Exp	One	Low	OneLow	0.385699987	0.668594122	0.435312033	0.418578148	4.081376076	2	Obj	2.218713045	space	1	2.33543992	0.385488033	0.435342789	1.352360964	List2	1	P448	25
27	q	113	2	Filler	NA	NA	MatchFF	1.535506964	0.402199984	0.436073065	0.385526896	4.482394935	1	Sub	3.38567996	q	1	3.51892519	0.652332067	0.552145958	0.518610001	List2	1	P448	25
28	p	90	2	Exp	Amb	High	AmbHigh	1.535542011	0.435495853	0.335341215	0.385326862	5.364458798	1	Sub	3.26611805	p	1	2.90211606	0.452014923	0.468643904	1.75209403	List2	1	P448	25
29	space	139	2	Filler	NA	NA	NeutralFNLow	0.952388048	0.718801022	0.485388994	0.785650969	5.57098794	1	Sub	1.435729027	space	1	0.78545785	0.752398014	0.735383987	1.140976906	List2	1	P448	25
30	space	87	2	Exp	Amb	Low	AmbLow	0.75208807	0.385734081	0.402063847	0.418561935	4.065319061	2	Obj	3.385076046	space	1	0.585582018	0.669004917	0.402281046	1.035585165	List2	1	P448	25
31	space	122	2	Filler	NA	NA	MismatchMF	1.202409029	0.385581017	0.435344934	0.535808086	3.981958151	2	Obj	1.501138926	space	1	0.652431965	0.452094078	0.535445929	0.435275078	List2	1	P448	25
32	space	91	2	Exp	No	Low	NoLow	1.268670082	0.486130953	0.802253962	1.102658033	7.815901995	1	Sub	1.467308998	space	1	1.01875186	1.018707991	0.651988983	2.485491991	List2	1	P448	25
33	q	131	2	Filler	NA	NA	NeutralMN	1.885515928	0.385524988	0.43533802	0.485460997	4.715220927	1	Sub	1.551940918	q	1	6.752474785	0.552272081	0.502151012	0.468957901	List2	1	P448	25
34	space	98	2	Exp	One	Low	OneLow	0.635533094	0.385488033	1.018849134	0.418153048	5.098773002	1	Sub	28.06817508	space	1	0.818799973	0.819218874	1.385921955	0.435608864	List2	1	P448	25
35	space	140	2	Filler	NA	NA	NeutralFNLow	1.602239847	0.918621063	1.468732834	2.069181204	10.31535316	2	Obj	1.401341915	space	1	0.751896143	0.602402925	0.468711138	3.185464144	List2	1	P448	25
36	space	97	2	Exp	No	Low	NoLow	0.852272034	0.385695934	0.517113209	0.5854249	3.830080271	1	Sub	2.385482073	space	1	0.618852854	0.552071095	0.468779087	0.468724012	List2	1	P448	25
37	q	132	2	Filler	NA	NA	NeutralMN	1.102163792	0.502369881	0.518854856	0.6519382	5.015459775	2	Sub	1.083817005	p	0	5.169107914	0.569023132	0.935479879	0.735630035	List2	1	P448	25
38	p	101	2	Exp	One	High	OneHigh	2.685570002	0.368705034	0.468726158	0.685315847	6.297942877	1	Obj	1.616400003	q	0	5.435879946	0.585258007	0.768837929	0.7355299	List2	1	P448	25
39	q	108	2	Filler	NA	NA	MatchMM	0.935589075	0.868810177	0.452135801	0.802444935	4.715108871	2	Sub	1.134742022	p	0	7.852483988	0.668628931	0.468760967	0.518738985	List2	1	P448	25
40	space	73	2	Exp	No	Low	NoLow	1.61912322	1.152148962	0.635412931	1.002166986	6.282169817	2	Sub	4.617842913	space	1	1.018656015	0.41877985	0.718747854	0.735790014	List2	1	P448	25
41	space	133	2	Filler	NA	NA	NeutralMN	1.952131033	1.085710049	0.468885183	0.402898788	5.798647165	2	Sub	1.316674948	space	1	0.735317945	0.468189001	0.402216196	1.018616915	List2	1	P448	25
42	q	94	2	Exp	No	High	NoHigh	0.918917179	0.402004957	0.402096987	0.668664932	4.664606094	2	Sub	2.26817894	p	0	8.569401026	0.451998949	0.435465097	1.385457993	List2	1	P448	25
43	q	106	2	Filler	NA	NA	MatchMM	2.985961914	0.518737078	0.385455132	0.71875596	6.098903418	2	Sub	2.218943119	q	1	4.169138908	0.468918085	0.518658161	0.502417088	List2	1	P448	25
44	p	84	2	Exp	Amb	High	AmbHigh	0.952262163	0.785590887	0.48525095	0.95237112	8.598618984	1	Obj	8.335236073	q	0	5.552650929	0.435389042	1.068953991	3.918800831	List2	1	P448	25
45	space	121	2	Filler	NA	NA	MismatchMF	1.418647051	0.88578701	0.618901968	1.418802977	6.515393972	2	Sub	2.768843889	space	1	0.78559494	0.402122974	0.402358055	1.368773937	List2	1	P448	25
46	space	109	2	Filler	NA	NA	MatchMM	0.668668032	0.451902151	0.385601997	0.535403013	4.564608097	1	Obj	4.583811045	space	1	0.919111013	0.702280045	0.652008057	1.168744802	List2	1	P448	25
47	space	110	2	Filler	NA	NA	MatchFFLow	0.718761206	0.902209997	0.835520029	0.685386181	6.548680306	2	Sub	4.233913898	space	1	0.517085791	0.719064951	0.952112913	1.735625029	List2	1	P448	25
48	p	136	2	Filler	NA	NA	NeutralMN	2.219262123	1.285449028	0.519071102	1.052011013	7.531911135	1	Obj	1.434037924	q	0	6.635704041	0.385398865	0.468752146	1.601966858	List2	1	P448	25
49	space	141	2	Filler	NA	NA	NeutralFN	1.152327061	1.452391863	2.102169991	1.335413933	7.330062629	2	Sub	1.118803978	space	1	0.718748093	0.450419903	0.368690014	0.468649864	List2	1	P448	25
50	q	119	2	Filler	NA	NA	MismatchMFLow	0.06895709	1.052105904	0.451957941	0.968662977	4.215226889	2	Sub	1.29997611	q	1	3.035532951	0.45240593	0.418786049	0.802350998	List2	1	P448	25
51	space	123	2	Filler	NA	NA	MismatchMF	1.635483027	0.41877985	0.652433157	0.752570868	4.982197524	2	Sub	2.935576916	space	1	0.552088022	0.551761866	0.485683918	0.485484838	List2	1	P448	25
52	q	142	2	Filler	NA	NA	NeutralFN	0.068964958	0.88548398	0.435361147	0.618911028	3.28235817	1	Obj	1.167057991	q	1	5.002557039	0.435770035	0.368947983	0.468919039	List2	1	P448	25
53	space	81	2	Exp	Amb	Low	AmbLow	0.885432959	0.502027035	0.418677092	0.435719013	4.496775866	2	Sub	4.968873024	space	1	0.835675001	1.283872843	0.468756914	0.50229001	List2	1	P448	25
54	space	104	2	Filler	NA	NA	MatchMMLow	0.768649817	0.501957178	0.385473013	1.03568387	4.098213672	3	None	2.052205801	space	1	1.102019072	0.435504913	0.385440826	0.585504055	List2	1	P448	25
55	space	80	2	Exp	One	Low	OneLow	0.66879487	0.685841084	0.402249098	0.585200071	4.34680605	1	Obj	2.202189922	space	1	0.485396147	0.96707201	0.352151871	0.685497046	List2	1	P448	25
56	p	112	2	Filler	NA	NA	MatchFFLow	0.835777044	0.518826962	1.368793011	0.58594799	5.932438136	1	Obj	2.434115887	q	0	4.602229118	0.435033083	0.435781956	1.75227809	List2	1	P448	25
57	p	96	2	Exp	Amb	High	AmbHigh	2.702168942	0.319087982	0.319137812	0.368783951	5.565822841	2	Sub	4.568955183	p	1	5.886010885	0.43564415	0.418857813	1.002142191	List2	1	P448	25
58	p	88	2	Exp	No	High	NoHigh	0.585569859	0.41880703	0.335656881	0.418904066	3.815485954	2	Sub	3.151713133	p	1	9.502340078	0.369066	0.585469007	1.102013111	List2	1	P448	25
59	p	138	2	Filler	NA	NA	NeutralFNLow	1.552302122	0.419130087	0.502005816	0.752002001	5.346612931	1	Obj	2.118942022	p	1	2.802145004	0.568681002	1.083839893	0.46865201	List2	1	P448	25
60	space	79	2	Exp	No	Low	NoLow	1.502121925	0.552004099	0.485224962	0.65221715	6.731018066	2	Sub	9.583857059	space	1	0.535438061	0.502309084	1.234815836	1.80232501	List2	1	P448	25
61	p	144	2	Filler	NA	NA	NeutralFN	2.452094793	0.368781805	0.5189569	0.502032995	5.580610275	1	Obj	1.735441208	p	1	5.869230986	0.767136812	0.385714054	0.585892916	List2	1	P448	25
62	q	82	2	Exp	No	High	NoHigh	1.38556385	0.785508871	0.485443115	0.468960047	6.531998872	2	Sub	7.601073027	q	1	5.218786001	0.502026796	0.735371113	2.16912508	List2	1	P448	25
63	q	137	2	Filler	NA	NA	NeutralMN	3.61892581	0.802078962	0.652033091	0.919167995	7.565081835	2	Sub	4.118702173	q	1	6.635610104	0.518707991	0.585484982	0.468683004	List2	1	P448	25
64	q	95	2	Exp	One	High	OneHigh	1.069122076	1.468730927	0.318744898	0.602324009	5.315048456	2	Sub	11.53570986	q	1	6.352696896	0.435331821	0.418835878	1.001958847	List2	1	P448	25
65	space	105	2	Filler	NA	NA	MatchMMLow	0.552108049	0.452362061	0.318699121	0.435580969	3.648003101	1	Obj	2.218657017	space	1	0.618902922	0.468648911	0.585599899	0.835004091	List2	1	P448	25
66	space	115	2	Filler	NA	NA	MatchFF	0.768984079	0.418790102	0.418828964	0.619109154	3.782460212	2	Sub	1.366853952	space	1	0.718631983	0.485507965	0.485512972	0.585726976	List2	1	P448	25
67	q	100	2	Exp	No	High	NoHigh	0.018640995	1.285604	0.369114876	0.75216794	4.063684941	1	Obj	4.285479069	q	1	7.085578918	0.435458899	0.733692169	0.469006062	List2	1	P448	25
68	p	143	2	Filler	NA	NA	NeutralFN	2.402553082	0.485334873	0.452260971	0.735506058	5.548369885	2	Sub	1.317553043	p	1	7.835580111	0.451982975	0.452007055	0.568724871	List2	1	P448	25
69	space	117	2	Filler	NA	NA	MismatchMFLow	1.35196805	0.685520887	0.451990128	0.635681868	4.548249483	2	Sub	2.050657988	space	1	0.618909121	0.452227831	0.435479879	0.53538084	List2	1	P448	25
70	space	86	2	Exp	One	Low	OneLow	0.135843992	0.71866107	0.385311127	0.485266209	3.848383189	1	Obj	2.349693775	space	1	2.052119017	0.419050932	0.418622971	1.285626888	List2	1	P448	25
71	p	130	2	Filler	NA	NA	MismatchFM	3.186130047	0.385756969	0.485427141	0.702064037	6.332453489	1	Obj	2.185513973	p	1	7.052463055	0.385329962	0.402289152	0.785456181	List2	1	P448	25
72	space	127	2	Filler	NA	NA	MismatchFM	0.735568047	0.335407972	0.402019978	0.402065992	3.314814806	2	Sub	1.768764973	space	1	0.802206993	0.502023935	0.435346842	0.50238204	List2	1	P448	25
1	q	124	2	Filler	NA	NA	MismatchFMLow	1.902322054	0.652307034	1.068725109	1.168866158	7.215297224	2	Obj	4.452458143	p	0	9.519042969	0.902137995	0.569036961	0.951901913	List2	1	P634	35
2	p	107	2	Filler	NA	NA	MatchMM	0.935519934	0.652029037	0.535170078	1.302273035	6.479475975	2	Obj	2.318673134	p	1	3.685743809	0.618710995	1.252131939	1.183640957	List2	1	P634	35
3	p	83	2	Exp	One	High	OneHigh	0.550285101	0.868944883	0.735697985	0.701997042	5.729823113	1	Sub	4.884905815	p	1	4.385530949	1.018749952	0.785449982	1.068698168	List2	1	P634	35
4	p	125	2	Filler	NA	NA	MismatchFMLow	0.869050026	0.618685007	0.568283081	0.552691936	4.71527314	1	Sub	2.485502958	q	0	6.252156019	0.602274179	0.752244949	0.752043962	List2	1	P634	35
5	q	89	2	Exp	One	High	OneHigh	1.052163839	0.952072859	0.652103186	0.71880579	6.748516798	2	Obj	5.185731888	p	0	6.935634136	0.652292967	0.652077198	2.069000959	List2	1	P634	35
6	p	126	2	Filler	NA	NA	MismatchFMLow	0.852307081	0.768897057	0.554039955	0.651558876	5.94835496	2	Obj	2.70233202	p	1	8.885854959	0.502229929	0.518805027	2.100517035	List2	1	P634	35
7	space	93	2	Exp	Amb	Low	AmbLow	3.852226019	1.017076015	0.552160978	0.735448122	9.629759311	1	Sub	1.651894093	space	1	1.08561182	0.818652153	1.235392094	1.41880393	List2	1	P634	35
8	q	120	2	Filler	NA	NA	MismatchMF	0.552151203	0.402065039	0.600389957	1.168811798	4.712958098	2	Obj	2.285468102	p	0	8.402462006	0.65200305	0.518619061	0.81891799	List2	1	P634	35
9	space	75	2	Exp	Amb	Low	AmbLow	2.602426052	0.735460997	0.418725014	0.985414982	7.197976113	2	Obj	2.985510111	space	1	0.902297974	0.618716955	0.835205078	1.002027035	List2	1	P634	35
10	p	114	2	Filler	NA	NA	MatchFF	0.518316984	0.435715199	0.735395908	1.552092075	6.414619445	2	Obj	1.735476971	p	1	3.935526133	0.785301208	1.069019079	1.318778992	List2	1	P634	35
11	p	77	2	Exp	One	High	OneHigh	3.052378178	0.552246094	1.035310984	2.535682201	9.582063438	1	Sub	3.00214386	p	1	2.052109957	0.585605145	1.318764925	0.502075911	List2	1	P634	35
12	q	118	2	Filler	NA	NA	MismatchMFLow	1.552057981	0.785554886	0.502119064	0.885296106	5.281611203	2	Obj	1.601028919	p	0	5.785883904	0.468915939	0.568852186	0.518815041	List2	1	P634	35
13	p	76	2	Exp	No	High	NoHigh	1.735639811	1.118654013	0.968899965	0.735638857	6.898710489	1	Sub	7.551025867	p	1	12.00313401	0.468564987	0.385478973	1.485833883	List2	1	P634	35
14	space	111	2	Filler	NA	NA	MatchFFLow	1.56884408	0.685381889	0.585548878	1.018969059	5.648663044	2	Obj	1.602183104	space	1	1.06875205	0.618817091	0.586007118	0.585094929	List2	1	P634	35
15	q	102	2	Exp	Amb	High	AmbHigh	0.668817997	0.585642815	0.518754005	0.702110052	4.231989144	2	Obj	2.985579968	p	0	4.235527992	0.535660028	0.618902206	0.602102041	List2	1	P634	35
16	space	128	2	Filler	NA	NA	MismatchFM	0.701997995	0.502276182	0.435303926	0.96875596	4.88141179	2	Obj	1.502177	space	1	1.485378981	0.885473967	0.86874485	0.51885891	List2	1	P634	35
17	space	135	2	Filler	NA	NA	NeutralMN	0.802013874	0.635684967	1.268821955	1.10191679	5.531100512	3	None	6.065267086	space	1	1.718832016	0.535351992	0.568689823	0.618621111	List2	1	P634	35
18	space	85	2	Exp	No	Low	NoLow	1.43550396	0.635304213	0.568711042	0.935484886	6.081781149	1	Sub	2.285591125	space	1	1.23544693	0.502362013	1.302099943	0.702315092	List2	1	P634	35
19	space	116	2	Filler	NA	NA	MatchFF	0.668772936	1.001535892	0.452150106	1.402197123	5.347451925	2	Obj	2.350259066	space	1	1.002096891	0.601995945	0.535337925	0.685461998	List2	1	P634	35
20	q	78	2	Exp	Amb	High	AmbHigh	1.417066097	0.80198288	0.502196789	0.96877718	5.613152028	2	Obj	4.352421045	q	1	4.402282953	0.468672991	0.802155018	0.652301073	List2	1	P634	35
21	space	103	2	Filler	NA	NA	MatchMMLow	0.768829107	0.535512209	0.685456991	2.252496958	6.565627337	1	Sub	2.348912001	space	1	0.902055979	0.602210999	0.668658018	1.052463055	List2	1	P634	35
22	space	74	2	Exp	One	Low	OneLow	0.618994951	1.002286911	0.53563714	1.002515078	5.430394172	1	Sub	2.3188591	space	1	2.185487032	0.701948166	0.833650112	0.735361814	List2	1	P634	35
23	space	134	2	Filler	NA	NA	NeutralMN	0.535490036	0.435416222	0.568750858	0.402059078	3.448054313	2	Obj	2.002015114	space	1	1.202261925	0.468995094	0.435376167	0.601966858	List2	1	P634	35
24	space	99	2	Exp	Amb	Low	AmbLow	0.568790913	0.452099085	0.402066946	1.002033949	7.146119834	1	Sub	5.235543013	space	1	1.017075062	1.368759871	0.650279045	2.702090025	List2	1	P634	35
25	space	129	2	Filler	NA	NA	MismatchFM	0.48563695	0.502070189	0.5189991	0.518727064	3.581813337	1	Sub	1.634418011	space	1	0.768896103	0.468884945	0.452087164	0.635407925	List2	1	P634	35
26	space	92	2	Exp	One	Low	OneLow	0.535615206	0.602195024	0.502120972	0.485520124	4.48209238	1	Sub	2.469626904	space	1	1.168567896	0.669388056	0.485142946	1.202110052	List2	1	P634	35
27	q	113	2	Filler	NA	NA	MatchFF	0.835473061	0.468719006	0.452075005	0.402163029	3.915014269	1	Sub	2.185429811	q	1	7.285792828	0.50228405	0.785581112	0.468719006	List2	1	P634	35
28	p	90	2	Exp	Amb	High	AmbHigh	0.552330971	0.435544014	0.33570385	0.418823957	3.448902846	1	Sub	4.849583149	p	1	2.185673952	0.368937969	0.36879015	0.968771935	List2	1	P634	35
29	space	139	2	Filler	NA	NA	NeutralFNLow	1.252141953	0.802228928	0.668839931	0.735430956	6.036338092	1	Sub	9.98585701	space	1	0.73543191	0.568726063	0.585641146	1.423329115	List2	1	P634	35
30	space	87	2	Exp	Amb	Low	AmbLow	0.418806791	0.352082014	0.335573196	0.318724871	3.165040969	2	Obj	2.552602053	space	1	0.835484028	0.568757057	0.552257061	0.618839979	List2	1	P634	35
31	space	122	2	Filler	NA	NA	MismatchMF	0.468791008	0.518825054	0.352255106	0.485405922	3.282112121	2	Obj	1.684171915	space	1	0.568866014	0.502403021	0.418819904	0.535612106	List2	1	P634	35
32	space	91	2	Exp	No	Low	NoLow	0.685628891	0.385379076	0.385513067	0.385479927	5.115046977	1	Sub	2.401684046	space	1	0.718622923	1.01876688	1.302113056	0.95216608	List2	1	P634	35
33	q	131	2	Filler	NA	NA	NeutralMN	0.552100897	0.418638945	0.485709906	0.435550928	4.064984561	1	Sub	2.085407019	q	1	5.50237298	0.985420942	0.635500908	0.552062035	List2	1	P634	35
34	space	98	2	Exp	One	Low	OneLow	0.485440016	0.618742943	1.000378847	0.885477066	5.846639871	1	Sub	7.235214949	space	1	0.66878891	0.468810081	0.835711956	1.552078962	List2	1	P634	35
35	space	140	2	Filler	NA	NA	NeutralFNLow	0.551906109	0.618675232	0.35215497	0.41852808	4.014869213	2	Obj	1.901462793	space	1	0.518877983	0.369468927	0.668676853	1.035459042	List2	1	P634	35
36	space	97	2	Exp	No	Low	NoLow	0.468682051	0.402084112	0.452023983	0.451953888	3.830951928	2	Obj	2.202083111	space	1	0.651996851	1.102222919	0.435358047	0.518626928	List2	1	P634	35
37	q	132	2	Filler	NA	NA	NeutralMN	1.085660934	0.452310085	0.352002144	0.416981936	4.080070019	1	Obj	2.034208059	q	1	5.018993855	0.385329008	0.752090931	0.635694981	List2	1	P634	35
